a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.102418E+03 -0.263394E+01  0.452553E+01 -0.704667E+01  0.507528E+01  0.267862E-02  0.118159E-02  0.454186E-03  0.207147E-03  0.549112E-03  0.340476E-03  0.334959E-03  0.710089E-03  0.141935E+03
  0.102418E+03 -0.523749E+01  0.929176E+00 -0.987370E+01  0.397364E+00  0.267862E-02  0.113121E-02  0.454186E-03  0.207147E-03  0.549112E-03  0.340476E-03  0.334959E-03  0.710089E-03  0.141203E+03
  0.102418E+03 -0.523749E+01  0.929176E+00 -0.839937E+01  0.211992E+01  0.232115E-02  0.113121E-02  0.454186E-03  0.207147E-03  0.549112E-03  0.340476E-03  0.334959E-03  0.710089E-03  0.141494E+03
  0.102418E+03 -0.523749E+01  0.612909E+01 -0.839937E+01  0.728952E+01  0.216391E-02  0.113121E-02  0.454186E-03  0.207147E-03  0.549112E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.142130E+03
  0.102418E+03 -0.523749E+01 -0.263378E+01  0.292716E+01  0.149479E+02  0.216391E-02  0.113121E-02  0.454186E-03  0.207147E-03  0.549112E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.137495E+03
  0.102418E+03 -0.523749E+01 -0.263378E+01 -0.810370E+01  0.149479E+02  0.458886E-03  0.113121E-02  0.454186E-03  0.207147E-03  0.523006E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.143198E+03
  0.102418E+03 -0.523749E+01 -0.263378E+01 -0.810370E+01  0.149479E+02  0.458886E-03  0.113121E-02  0.454186E-03  0.207147E-03  0.523006E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.143198E+03
  0.102418E+03 -0.523749E+01 -0.263378E+01 -0.751459E+01  0.103000E+02  0.458886E-03  0.484898E-02  0.454186E-03  0.123281E-03  0.523006E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.139516E+03
  0.102418E+03  0.161874E+01  0.336778E+01 -0.751459E+01  0.187608E+02  0.458886E-03  0.329725E-02  0.454186E-03  0.123281E-03  0.523006E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.141879E+03
  0.102418E+03  0.161874E+01  0.656844E+01 -0.751459E+01  0.222216E+02  0.458886E-03  0.329725E-02  0.454186E-03  0.123281E-03  0.523006E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.141898E+03
  0.102418E+03  0.161874E+01  0.506561E+01 -0.486888E+01  0.222216E+02  0.458886E-03  0.454253E-02  0.454186E-03  0.123281E-03  0.523006E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.141535E+03
  0.101924E+03  0.161874E+01  0.506561E+01 -0.486888E+01  0.222216E+02  0.458886E-03  0.721550E-02  0.454186E-03  0.123281E-03  0.523006E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.140147E+03
  0.101924E+03  0.161874E+01  0.181772E+01  0.647017E+01  0.222216E+02  0.458886E-03  0.721550E-02  0.454186E-03  0.123281E-03  0.523006E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.139766E+03
  0.101924E+03  0.161874E+01  0.888504E+01  0.392412E+01  0.207259E+02  0.458886E-03  0.103792E-01  0.454186E-03  0.123281E-03  0.523006E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.139574E+03
  0.101924E+03  0.161874E+01  0.101252E+01  0.392412E+01  0.152951E+02  0.458886E-03  0.116079E-01  0.454186E-03  0.381123E-03  0.523006E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.139096E+03
  0.101924E+03  0.161874E+01  0.101252E+01  0.410389E+01  0.152951E+02  0.458886E-03  0.897383E-02  0.454186E-03  0.381123E-03  0.523006E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.139852E+03
  0.101924E+03  0.161874E+01 -0.337188E+01  0.410389E+01  0.892249E+01  0.458886E-03  0.110750E-01  0.454186E-03  0.381123E-03  0.523006E-03  0.340476E-03  0.919585E-04  0.710089E-03  0.138319E+03
  0.101924E+03  0.306667E+01 -0.424225E+01 -0.418541E+01  0.676112E+01  0.416510E-02  0.110750E-01  0.454186E-03  0.381123E-03  0.523006E-03  0.340476E-03  0.919585E-04  0.163162E-02  0.130788E+03
  0.101924E+03 -0.437567E+01 -0.424225E+01 -0.122062E+02  0.781759E+01  0.291479E-02  0.101685E-01  0.454186E-03  0.638343E-03  0.523006E-03  0.340476E-03  0.305020E-03  0.163162E-02  0.132818E+03
  0.101740E+03  0.223848E+01 -0.424225E+01 -0.140791E+02  0.687833E+01  0.291479E-02  0.941698E-02  0.766081E-03  0.101905E-02  0.523006E-03  0.205388E-02  0.305020E-03  0.298970E-02  0.127414E+03
  0.101740E+03  0.631780E+01 -0.755936E+01 -0.140791E+02 -0.156152E+02  0.291479E-02  0.618826E-02  0.766081E-03  0.704199E-03  0.523006E-03  0.205388E-02  0.305020E-03  0.298970E-02  0.128198E+03
