<CdSiteHydro>;<CdStationHydro>;<CdCapteur>;<GrdSerieObsHydro>;<DtObsHydro>;<StObsHydro>;<ResObsHydro>;<QualifObsHydro>;<MethObsHydro>;<ContObsHydro>;<FLG>
"Code du site hydrométrique";"Code de la station hydrométrique";"Code du capteur";"Grandeur observée de la série";"Date d'observation hydrométrique";"Résultat de l'observation hydro";"Résultat de l'observation hydrométrique";"Qualification de la donnée de l'observation hydrométrique";"Méthode d'obtention du résultat de l'observation hydrométrique";"Continuité de la donnée de l'observation hydrométrique";<FLG>
V2942010;V294201001;;Q;"2001-01-26 02:30:00";16;275971;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-26 04:30:00";16;270714;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-26 05:54:00";16;256783;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-26 07:54:00";16;229497;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-26 08:57:00";16;223805;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-26 15:00:00";16;211368;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-26 16:36:00";16;205043;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-26 17:27:00";16;190708;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-26 18:33:00";16;166589;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-26 19:42:00";16;154520;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-26 20:45:00";16;149806;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-27 01:06:00";16;141320;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-27 01:51:00";16;143394;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-27 03:00:00";16;153200;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-27 05:30:00";16;147543;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-27 09:18:00";16;152634;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-27 12:24:00";16;183962;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-27 13:27:00";16;189654;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-27 17:30:00";16;202935;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-27 21:30:00";16;206519;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-28 01:45:00";16;202935;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-28 03:39:00";16;195557;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-28 04:21:00";16;184384;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-28 06:18:00";16;146411;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-28 07:45:00";16;127177;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-28 08:57:00";16;116806;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-28 10:30:00";16;109263;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-28 14:06:00";16;111149;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-28 15:57:00";16;120011;20;10;0;<FLG>
