a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100859E+03  -0.298077E+01  -0.111286E+01  -0.189480E+02   0.274713E-02   0.449548E-04   0.129388E-03   0.126794E-02   0.481372E-03   0.106962E-01   0.975665E-03   0.659716E-03   0.172753E+03   0.000000E+00   0.000000E+00   0.172753E+03  -0.345506E+03
   0.100859E+03  -0.436524E+01   0.529320E+01  -0.117159E+02   0.176716E-02   0.518131E-03   0.129388E-03   0.126794E-02   0.481372E-03   0.895589E-02   0.975665E-03   0.659716E-03   0.173876E+03   0.000000E+00   0.000000E+00   0.173876E+03  -0.347752E+03
   0.100859E+03  -0.190497E+01  -0.633652E+01  -0.211858E+02   0.176716E-02   0.518131E-03   0.129388E-03   0.864912E-03   0.481372E-03   0.252687E-02   0.975665E-03   0.659716E-03   0.180252E+03   0.000000E+00   0.000000E+00   0.180252E+03  -0.360504E+03
   0.100859E+03   0.245449E+01  -0.312755E+01  -0.169283E+02   0.176716E-02   0.518131E-03   0.193589E-04   0.864912E-03   0.481372E-03   0.252687E-02   0.975665E-03   0.505154E-03   0.181083E+03   0.000000E+00   0.000000E+00   0.181083E+03  -0.362166E+03
   0.100859E+03   0.245449E+01   0.240861E+01  -0.141740E+02   0.106928E-02   0.518131E-03   0.193589E-04   0.864912E-03   0.481372E-03   0.160397E-02   0.975665E-03   0.505154E-03   0.183479E+03   0.000000E+00   0.000000E+00   0.183479E+03  -0.366958E+03
   0.100859E+03  -0.156678E+00  -0.444985E+01  -0.141740E+02   0.112227E-03   0.149540E-02   0.193589E-04   0.864912E-03   0.481372E-03   0.160397E-02   0.975665E-03   0.505154E-03   0.182895E+03   0.000000E+00   0.000000E+00   0.182895E+03  -0.365790E+03
   0.100859E+03  -0.156678E+00   0.216238E+01   0.408809E+01   0.112771E-02   0.149540E-02   0.193589E-04   0.864912E-03   0.481372E-03   0.160397E-02   0.975665E-03   0.505154E-03   0.179448E+03   0.000000E+00   0.000000E+00   0.179448E+03  -0.358896E+03
   0.100859E+03   0.788245E+01   0.346890E+01   0.237751E+01   0.112771E-02   0.149540E-02   0.193589E-04   0.182266E-02   0.481372E-03   0.160397E-02   0.300345E-03   0.505154E-03   0.179169E+03   0.000000E+00   0.000000E+00   0.179169E+03  -0.358338E+03
   0.100859E+03   0.810999E+01   0.114082E+02   0.152723E+02   0.124187E-03   0.468960E-03   0.239765E-03   0.182266E-02   0.481372E-03   0.136265E-02   0.300345E-03   0.505154E-03   0.183525E+03   0.000000E+00   0.000000E+00   0.183525E+03  -0.367050E+03
   0.100859E+03   0.443210E+01   0.123127E+02   0.152723E+02   0.124187E-03   0.789775E-03   0.239765E-03   0.182266E-02   0.192489E-02   0.630961E-03   0.300345E-03   0.505154E-03   0.181862E+03   0.000000E+00   0.000000E+00   0.181862E+03  -0.363724E+03
