a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.109863E+03   0.454240E+02   0.269384E-03   0.845261E+01   0.714095E+01   0.204333E+02   0.114302E+02   0.459778E+02
   0.110382E+03   0.454240E+02   0.269384E-03   0.735281E+01   0.714095E+01   0.204333E+02   0.114302E+02   0.441417E+02
   0.110382E+03   0.429426E+02   0.269384E-03   0.735281E+01   0.122144E+02   0.204333E+02   0.206567E+02   0.455697E+02
   0.110382E+03   0.423490E+02   0.269384E-03   0.735281E+01   0.115563E+02   0.143043E+02   0.153049E+02   0.485572E+02
   0.110382E+03   0.405415E+02   0.300602E-04   0.139115E+02   0.861519E+01   0.165713E+02   0.153049E+02   0.434904E+02
   0.110382E+03   0.405415E+02   0.300602E-04   0.100587E+02   0.755122E+01   0.165713E+02   0.154324E+02   0.445866E+02
   0.110382E+03   0.405415E+02   0.300602E-04   0.100587E+02   0.110439E+02   0.197798E+02   0.154324E+02   0.440600E+02
   0.110382E+03   0.405415E+02   0.300602E-04   0.100587E+02   0.110439E+02   0.197798E+02   0.167704E+02   0.438314E+02
   0.111045E+03   0.405415E+02   0.300602E-04   0.100587E+02   0.107073E+02   0.228631E+02   0.167704E+02   0.453191E+02
   0.111045E+03   0.405415E+02   0.319975E-03   0.100587E+02   0.108424E+02   0.228631E+02   0.137467E+02   0.454830E+02
   0.111045E+03   0.405415E+02   0.475003E-03   0.809135E+01   0.108424E+02   0.211996E+02   0.145785E+02   0.454782E+02
   0.112684E+03   0.405415E+02   0.475003E-03   0.809135E+01   0.108424E+02   0.211996E+02   0.145785E+02   0.467356E+02
   0.112684E+03   0.405415E+02   0.204482E-03   0.809135E+01   0.155773E+02   0.960885E+01   0.132396E+02   0.452352E+02
   0.112684E+03   0.405415E+02   0.204482E-03   0.809135E+01   0.172328E+02   0.119878E+02   0.107036E+02   0.445014E+02
   0.112684E+03   0.405415E+02   0.204482E-03   0.809135E+01   0.172328E+02   0.122181E+02   0.128622E+02   0.455289E+02
   0.112684E+03   0.405415E+02   0.204482E-03   0.809135E+01   0.169067E+02   0.122181E+02   0.128622E+02   0.458033E+02
   0.112684E+03   0.405415E+02   0.204482E-03   0.113196E+02   0.169067E+02   0.122181E+02   0.128622E+02   0.458362E+02
