a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.994970E+02   0.312349E+01   0.581427E-03   0.108342E+02   0.938420E+01   0.184860E+03  -0.237740E+01   0.000000E+00   0.187237E+03  -0.374475E+03
   0.994970E+02   0.312349E+01   0.581427E-03   0.111483E+02   0.938420E+01   0.184562E+03  -0.267581E+01   0.000000E+00   0.187238E+03  -0.374476E+03
   0.994970E+02   0.312349E+01   0.581427E-03   0.997956E+01   0.870166E+01   0.184574E+03  -0.266401E+01   0.000000E+00   0.187238E+03  -0.374476E+03
   0.994970E+02   0.312349E+01   0.581427E-03   0.109838E+02   0.774929E+01   0.181870E+03  -0.536783E+01   0.000000E+00   0.187238E+03  -0.374476E+03
   0.994970E+02   0.105930E+01   0.581427E-03   0.109838E+02   0.866423E+01   0.183885E+03  -0.325651E+01   0.000000E+00   0.187142E+03  -0.374283E+03
   0.985004E+02   0.105930E+01   0.581427E-03   0.120698E+02   0.980584E+01   0.181008E+03  -0.379510E+01   0.000000E+00   0.184803E+03  -0.369606E+03
   0.985004E+02   0.105930E+01   0.581427E-03   0.121223E+02   0.980584E+01   0.180921E+03  -0.388203E+01   0.000000E+00   0.184803E+03  -0.369606E+03
   0.992311E+02   0.105930E+01   0.431816E-03   0.116604E+02   0.121896E+02   0.181893E+03  -0.532951E+01   0.000000E+00   0.187223E+03  -0.374445E+03
   0.992311E+02   0.105930E+01   0.431816E-03   0.952813E+01   0.130687E+02   0.181467E+03  -0.575542E+01   0.000000E+00   0.187222E+03  -0.374445E+03
   0.992311E+02   0.105930E+01   0.464959E-03   0.995624E+01   0.130687E+02   0.181541E+03  -0.568351E+01   0.000000E+00   0.187225E+03  -0.374449E+03
   0.100013E+03   0.105930E+01   0.568672E-03   0.100395E+02   0.113357E+02   0.184853E+03  -0.275388E+01   0.000000E+00   0.187607E+03  -0.375214E+03
   0.100013E+03   0.105930E+01   0.568672E-03   0.100395E+02   0.104121E+02   0.185643E+03  -0.196452E+01   0.000000E+00   0.187608E+03  -0.375215E+03
   0.100013E+03  -0.172802E+01   0.595846E-03   0.110123E+02   0.104121E+02   0.183597E+03  -0.252115E+01   0.000000E+00   0.186118E+03  -0.372236E+03
