a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.973363E+02  -0.199038E+01   0.665418E-03   0.935628E+01   0.103916E+02   0.180782E+02   0.133311E+02   0.174590E+03  -0.798305E+01   0.000000E+00   0.182573E+03  -0.365146E+03
   0.973363E+02  -0.104828E+01   0.665418E-03   0.935628E+01   0.100220E+02   0.177760E+02   0.115401E+02   0.174613E+03  -0.837781E+01   0.000000E+00   0.182991E+03  -0.365982E+03
   0.973363E+02  -0.104828E+01   0.691940E-03   0.128130E+02   0.100220E+02   0.886933E+01   0.115401E+02   0.171057E+03  -0.118005E+02   0.000000E+00   0.182857E+03  -0.365715E+03
   0.973363E+02   0.538898E+01   0.691940E-03   0.130162E+02   0.103110E+02   0.886933E+01   0.173461E+02   0.170001E+03  -0.117689E+02   0.000000E+00   0.181770E+03  -0.363540E+03
   0.973363E+02   0.239966E+01   0.420760E-03   0.130162E+02   0.104560E+02   0.146236E+02   0.173461E+02   0.173468E+03  -0.885290E+01   0.000000E+00   0.182321E+03  -0.364642E+03
   0.973363E+02   0.239966E+01   0.775456E-03   0.130162E+02   0.105144E+02   0.150863E+02   0.125426E+02   0.173806E+03  -0.870050E+01   0.000000E+00   0.182507E+03  -0.365013E+03
   0.975327E+02   0.388822E+01   0.775456E-03   0.130162E+02   0.886818E+01   0.150863E+02   0.137957E+02   0.173728E+03  -0.846175E+01   0.000000E+00   0.182190E+03  -0.364380E+03
   0.986035E+02   0.324916E+01   0.775456E-03   0.121849E+02   0.886818E+01   0.150863E+02   0.134745E+02   0.173836E+03  -0.804793E+01   0.000000E+00   0.181884E+03  -0.363768E+03
   0.986035E+02  -0.303694E+00   0.711150E-03   0.121849E+02   0.934213E+01   0.150863E+02   0.122022E+02   0.174386E+03  -0.826726E+01   0.000000E+00   0.182653E+03  -0.365307E+03
   0.986035E+02  -0.303694E+00   0.711150E-03   0.118204E+02   0.934213E+01   0.148922E+02   0.917965E+01   0.172371E+03  -0.102826E+02   0.000000E+00   0.182654E+03  -0.365307E+03
   0.986035E+02  -0.303694E+00   0.711150E-03   0.118204E+02   0.907513E+01   0.167991E+02   0.201397E+02   0.173203E+03  -0.945031E+01   0.000000E+00   0.182653E+03  -0.365307E+03
   0.986035E+02  -0.303694E+00   0.711150E-03   0.102102E+02   0.914117E+01   0.182020E+02   0.128642E+02   0.174554E+03  -0.809922E+01   0.000000E+00   0.182653E+03  -0.365306E+03
