Km_a0         Km_a1         Km_a2         Km_a3         Km_a4         Km_a5         Km_a6         Km_a7         Km_a8         Km_a9         Km_a10        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.297196E+02  0.418558E+01 -0.301332E+01  0.497481E+01  0.144339E+02  0.655741E+01 -0.895446E+00 -0.238458E+01 -0.204579E+01 -0.261678E+02 -0.101763E+01  0.608917E-02  0.173024E-01  0.305234E-03  0.101842E-01  0.204638E-01  0.290777E+03
  0.297196E+02  0.418558E+01 -0.301332E+01  0.497481E+01  0.153352E+02  0.655741E+01 -0.895446E+00 -0.211877E+01 -0.204579E+01 -0.261678E+02 -0.249225E+01  0.650295E-02  0.173894E-01  0.305234E-03  0.108804E-01  0.197282E-01  0.290366E+03
  0.297196E+02  0.418558E+01 -0.301332E+01  0.497481E+01  0.153352E+02  0.655741E+01 -0.259704E+01 -0.211877E+01 -0.204579E+01 -0.261678E+02 -0.249225E+01  0.578629E-02  0.184692E-01  0.305234E-03  0.101099E-01  0.181620E-01  0.290184E+03
  0.297196E+02  0.418558E+01 -0.301332E+01  0.507962E+01  0.153352E+02  0.655741E+01 -0.370316E+01 -0.153092E+01 -0.440433E+01 -0.261678E+02 -0.249225E+01  0.574312E-02  0.175865E-01  0.204598E-04  0.894948E-02  0.180769E-01  0.287696E+03
  0.297196E+02  0.418558E+01 -0.301332E+01  0.507962E+01  0.153352E+02  0.570377E+01 -0.222620E+01 -0.153092E+01 -0.440433E+01 -0.257389E+02 -0.249225E+01  0.479422E-02  0.165571E-01  0.108045E-02  0.752455E-02  0.176404E-01  0.289461E+03
  0.297196E+02  0.579770E+01 -0.301332E+01  0.683286E+01  0.153352E+02  0.695988E+01 -0.326340E+00  0.951729E+00 -0.414502E+01 -0.246957E+02 -0.249225E+01  0.311278E-02  0.166875E-01  0.884667E-03  0.559715E-02  0.182332E-01  0.291384E+03
  0.297196E+02  0.579770E+01 -0.301332E+01  0.100392E+02  0.153352E+02  0.695988E+01 -0.326340E+00  0.951729E+00 -0.414502E+01 -0.246957E+02 -0.249225E+01  0.387473E-02  0.179312E-01  0.223039E-02  0.559715E-02  0.184193E-01  0.292259E+03
  0.293793E+02  0.579770E+01 -0.301332E+01  0.100392E+02  0.153352E+02  0.695988E+01 -0.326340E+00  0.951729E+00 -0.414502E+01 -0.235349E+02 -0.494647E+01  0.524672E-02  0.178094E-01  0.243574E-02  0.537119E-02  0.173207E-01  0.291559E+03
  0.293793E+02  0.579770E+01 -0.301332E+01  0.100392E+02  0.145691E+02  0.695988E+01 -0.533220E+01  0.951729E+00 -0.365176E+01 -0.271623E+02 -0.804227E+01  0.376360E-02  0.175846E-01  0.115741E-02  0.423794E-02  0.171676E-01  0.292839E+03
  0.293793E+02  0.579770E+01 -0.301332E+01  0.100392E+02  0.145691E+02  0.695988E+01 -0.583515E+01  0.951729E+00 -0.365176E+01 -0.271623E+02 -0.642591E+01  0.133223E-02  0.181660E-01  0.110827E-03  0.384845E-02  0.181458E-01  0.292543E+03
  0.293793E+02  0.579770E+01 -0.301332E+01  0.774121E+01  0.145691E+02  0.695988E+01 -0.583515E+01  0.951729E+00 -0.365176E+01 -0.271623E+02 -0.642591E+01  0.189827E-03  0.177932E-01  0.158967E-03  0.306173E-02  0.193878E-01  0.292318E+03
