a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.990159E+02  0.779341E+01  0.386961E-03  0.727265E+01  0.794329E+01  0.113076E+02  0.122635E+02  0.374988E+02
  0.990159E+02  0.249187E+01  0.386961E-03  0.727265E+01  0.686840E+01  0.113076E+02  0.120253E+02  0.369002E+02
  0.990159E+02  0.249187E+01  0.236678E-03  0.756368E+01  0.790426E+01  0.113076E+02  0.120253E+02  0.384477E+02
  0.990159E+02  0.249187E+01  0.236678E-03  0.688624E+01  0.784994E+01  0.131874E+02  0.143475E+02  0.387887E+02
  0.990159E+02  0.249187E+01  0.236678E-03  0.747429E+01  0.848837E+01  0.148458E+02  0.123543E+02  0.394968E+02
  0.990159E+02  0.249187E+01  0.236678E-03  0.747429E+01  0.813110E+01  0.167167E+02  0.162729E+02  0.391886E+02
  0.990159E+02  0.249187E+01  0.236678E-03  0.718974E+01  0.875250E+01  0.140531E+02  0.178042E+02  0.390586E+02
  0.990159E+02  0.871111E+01  0.521870E-05  0.704018E+01  0.803185E+01  0.116107E+02  0.184477E+02  0.373108E+02
  0.990159E+02  0.345580E+01  0.521870E-05  0.838124E+01  0.803185E+01  0.116107E+02  0.184477E+02  0.390452E+02
  0.990159E+02 -0.115107E+00  0.521870E-05  0.873157E+01  0.808858E+01  0.129354E+02  0.171726E+02  0.397423E+02
  0.101794E+03 -0.115107E+00  0.521870E-05  0.101385E+02  0.740432E+01  0.129354E+02  0.184025E+02  0.367281E+02
  0.970526E+02  0.115298E+02  0.521870E-05  0.893267E+01  0.836712E+01  0.157104E+02  0.184025E+02  0.366501E+02
  0.970526E+02  0.767150E+01  0.521870E-05  0.829541E+01  0.825864E+01  0.132052E+02  0.184025E+02  0.376990E+02
  0.100505E+03  0.330457E+01  0.521870E-05  0.806822E+01  0.920006E+01  0.116587E+02  0.148427E+02  0.392932E+02
  0.977994E+02  0.330457E+01  0.521870E-05  0.103820E+02  0.893847E+01  0.134842E+02  0.129654E+02  0.400362E+02
  0.994581E+02  0.330457E+01  0.521870E-05  0.111339E+02  0.921919E+01  0.149652E+02  0.136070E+02  0.406259E+02
  0.994581E+02  0.330457E+01  0.566626E-04  0.972512E+01  0.926607E+01  0.159929E+02  0.135767E+02  0.407662E+02
  0.994581E+02  0.330457E+01  0.566626E-04  0.100072E+02  0.909378E+01  0.147898E+02  0.119119E+02  0.404438E+02
  0.988742E+02  0.330457E+01  0.159236E-03  0.103695E+02  0.939256E+01  0.160772E+02  0.125850E+02  0.404467E+02
  0.988742E+02  0.237954E+01  0.159236E-03  0.103695E+02  0.109280E+02  0.193773E+02  0.124811E+02  0.392510E+02
  0.988742E+02  0.237954E+01  0.159236E-03  0.907581E+01  0.123310E+02  0.193773E+02  0.124811E+02  0.387121E+02
  0.988742E+02  0.237954E+01  0.159236E-03  0.107669E+02  0.142484E+02  0.206457E+02  0.124811E+02  0.369082E+02
  0.988742E+02  0.237954E+01  0.159236E-03  0.994687E+01  0.141249E+02  0.214213E+02  0.131508E+02  0.369456E+02
  0.988742E+02  0.237954E+01  0.159236E-03  0.105674E+02  0.154562E+02  0.212659E+02  0.127456E+02  0.358658E+02
  0.988742E+02  0.237954E+01  0.270391E-04  0.982988E+01  0.138146E+02  0.203943E+02  0.130784E+02  0.377086E+02
  0.988742E+02  0.639253E+01  0.300839E-03  0.101681E+02  0.144917E+02  0.185345E+02  0.153605E+02  0.374273E+02
  0.985181E+02  0.639253E+01  0.485447E-03  0.875364E+01  0.137634E+02  0.185345E+02  0.153605E+02  0.372959E+02
  0.100923E+03  0.395677E+01  0.485447E-03  0.101205E+02  0.158341E+02  0.187869E+02  0.141752E+02  0.350600E+02
  0.100923E+03  0.887531E+01  0.420004E-03  0.945181E+01  0.172641E+02  0.183472E+02  0.156945E+02  0.333681E+02
  0.100923E+03  0.887531E+01  0.420004E-03  0.897014E+01  0.182494E+02  0.181233E+02  0.115212E+02  0.319975E+02
  0.977285E+02 -0.213758E+00  0.420004E-03  0.831619E+01  0.183176E+02  0.195175E+02  0.115212E+02  0.320350E+02
  0.101153E+03 -0.213758E+00  0.420004E-03  0.958250E+01  0.183176E+02  0.195175E+02  0.115212E+02  0.321124E+02
