a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.995047E+02  0.554110E+00 -0.290367E+00  0.597758E-03  0.109041E-02  0.166566E-02  0.788283E-04  0.129213E-02  0.379512E-03  0.374700E-04  0.379957E-03  0.181608E+03
  0.995047E+02  0.554110E+00  0.712205E+01  0.597758E-03  0.109041E-02  0.166566E-02  0.788283E-04  0.129213E-02  0.379512E-03  0.866847E-03  0.379957E-03  0.179645E+03
  0.995047E+02  0.554110E+00 -0.169610E+00  0.597758E-03  0.109041E-02  0.166566E-02  0.788283E-04  0.129213E-02  0.636731E-03  0.866847E-03  0.379957E-03  0.181220E+03
  0.998882E+02  0.554110E+00 -0.353132E+00  0.597758E-03  0.109041E-02  0.814361E-03  0.788283E-04  0.509025E-03  0.636731E-03  0.190469E-03  0.691853E-03  0.184527E+03
  0.100573E+03  0.554110E+00  0.345443E+01  0.597758E-03  0.109041E-02  0.814361E-03  0.191452E-02  0.509025E-03  0.636731E-03  0.190469E-03  0.691853E-03  0.184181E+03
  0.100573E+03  0.554110E+00  0.282472E+01  0.597758E-03  0.109041E-02  0.814361E-03  0.191452E-02  0.509025E-03  0.636731E-03  0.190469E-03  0.691853E-03  0.184182E+03
  0.100573E+03  0.194670E+01  0.313282E+01  0.597758E-03  0.109041E-02  0.814361E-03  0.191452E-02  0.509025E-03  0.636731E-03  0.190469E-03  0.691853E-03  0.184244E+03
  0.100573E+03 -0.525185E+00  0.313282E+01  0.597758E-03  0.109041E-02  0.814361E-03  0.612951E-03  0.509025E-03  0.636731E-03  0.190469E-03  0.691853E-03  0.185688E+03
  0.100573E+03 -0.525185E+00 -0.116666E+01  0.597758E-03  0.109041E-02  0.814361E-03  0.612951E-03  0.509025E-03  0.636731E-03  0.190469E-03  0.691853E-03  0.185450E+03
  0.100573E+03 -0.525185E+00 -0.116666E+01  0.597758E-03  0.892567E-03  0.814361E-03  0.612951E-03  0.509025E-03  0.636731E-03  0.190469E-03  0.691853E-03  0.185894E+03
