"X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15"
0 0 0 0 0 1 -0.307692307692308 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.346153846153847 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.384615384615384 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.423076923076922 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.461538461538462 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.5 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.538461538461538 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.576923076923077 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.615384615384616 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.653846153846153 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.692307692307692 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.730769230769231 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.769230769230769 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.807692307692307 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.846153846153847 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.884615384615384 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.923076923076922 0 0 0 0 0 0 0
0 0 0 0 0 1 -0.961538461538461 0 0 0 0 0 0 0
0 0 0 0 0 1 -1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0.614040049068242 0.065567772789594 -0.342257968677132 -0.416956004383076 0 0
0 0 0 0 0 0 0 1 0.624196889882235 0.0844326360079829 -0.328293611920254 -0.421934217181436 0 0
0 0 0 0 0 0 0 1 0.634353730696229 0.103606983472336 -0.313363359644388 -0.425575866048615 0 0
0 0 0 0 0 0 0 1 0.644510571510223 0.123090815182651 -0.297451494938432 -0.427811719135832 0 0
0 0 0 0 0 0 0 1 0.654667412324216 0.142884131138928 -0.280542300891285 -0.428571427155159 0 0
0 0 0 0 0 0 0 1 0.66482425313821 0.162986931341169 -0.262620060591838 -0.427783523379517 0 0
0 0 0 0 0 0 0 1 0.674981093952204 0.18339921578937 -0.243669057128993 -0.42537542364268 0 0
0 0 0 0 0 0 0 1 0.685137934766197 0.204120984483534 -0.223673573591646 -0.421273426339272 0 0
0 0 0 0 0 0 0 1 0.695294775580191 0.225152237423663 -0.202617893068688 -0.415402712424765 0 0
0 0 0 0 0 0 0 1 0.705451616394184 0.246492974609751 -0.180486298649024 -0.407687345415488 0 0
0 0 0 0 0 0 0 1 0.715608457208178 0.268143196041803 -0.157263073421544 -0.398050271388615 0 0
0 0 0 0 0 0 0 1 0.725765298022172 0.290102901719818 -0.132932500475147 -0.386413318982174 0 0
0 0 0 0 0 0 0 1 0.735922138836165 0.312372091643793 -0.107478862898732 -0.372697199395044 0 0
0 0 0 0 0 0 0 1 0.74607897965016 0.334950765813735 -0.0808864437811882 -0.356821506386949 0 0
0 0 0 0 0 0 0 1 0.756235820464153 0.357838924229635 -0.053139526211422 -0.338704716278476 0 0
0 0 0 0 0 0 0 1 0.766392661278147 0.3810365668915 -0.0242223932783224 -0.318264187951049 0 0
0 0 0 0 0 0 0 1 0.77654950209214 0.404543693799327 0.00588067192921068 -0.295416162846953 0 0
0 0 0 0 0 0 0 1 0.786706342906133 0.428360304953114 0.0371853863222784 -0.270075764969321 0 0
0 0 0 0 0 0 0 1 0.796863183720128 0.452486400352868 0.0697074668119926 -0.242157000882129 0 0
0 0 0 0 0 0 0 1 0.807020024534121 0.47692197999858 0.103462630309445 -0.211572759710222 0 0
0 0 0 0 0 0 0 1 0.817176865348114 0.501667043890255 0.138466593725746 -0.178234813139278 0 0
0 0 0 0 0 0 0 1 0.827333706162109 0.526721592027896 0.174735073972003 -0.142053815415829 0 0
0 0 0 0 0 0 0 1 0.837490546976102 0.552085624411495 0.212283787959309 -0.102939303347271 0 0
0 0 0 0 0 0 0 1 0.847647387790096 0.577759141041059 0.251128452598775 -0.0607996963018336 0 0
0 0 0 0 0 0 0 1 0.857804228604089 0.603742141916586 0.291284784801503 -0.015542296208607 0 0
