a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        
   0.100331E+03   0.396847E-03   0.455562E-03   0.719638E-03   0.121577E-02   0.886575E-03   0.640066E-03   0.138695E-02   0.132293E-03   0.154973E-02   0.206835E+03
   0.100331E+03   0.396847E-03   0.455562E-03   0.719638E-03   0.819387E-03   0.886575E-03   0.640066E-03   0.124818E-02   0.290562E-03   0.119967E-02   0.208399E+03
   0.997873E+02   0.396847E-03   0.455562E-03   0.719638E-03   0.123212E-02   0.886575E-03   0.640066E-03   0.124818E-02   0.290562E-03   0.808972E-03   0.208750E+03
   0.997873E+02   0.423796E-03   0.455562E-03   0.225544E-04   0.123212E-02   0.886575E-03   0.522130E-03   0.124818E-02   0.222127E-04   0.808972E-03   0.208105E+03
   0.997873E+02   0.545273E-03   0.455562E-03   0.225544E-04   0.123212E-02   0.853544E-03   0.522130E-03   0.124818E-02   0.222127E-04   0.705487E-03   0.208267E+03
   0.997873E+02   0.545273E-03   0.455562E-03   0.225544E-04   0.256750E-02   0.853544E-03   0.986550E-03   0.124818E-02   0.222127E-04   0.705487E-03   0.205856E+03
   0.997873E+02   0.545273E-03   0.455562E-03   0.225544E-04   0.106785E-02   0.853544E-03   0.156207E-02   0.500715E-03   0.222127E-04   0.705487E-03   0.208577E+03
   0.997873E+02   0.545273E-03   0.455562E-03   0.901969E-03   0.106785E-02   0.853544E-03   0.482122E-04   0.500715E-03   0.222127E-04   0.705487E-03   0.208938E+03
   0.997873E+02   0.545273E-03   0.455562E-03   0.136110E-02   0.106785E-02   0.218287E-02   0.482122E-04   0.500715E-03   0.640436E-03   0.347632E-03   0.205661E+03
   0.997873E+02   0.716584E-03   0.455562E-03   0.148949E-03   0.631995E-03   0.218287E-02   0.482122E-04   0.229413E-03   0.640436E-03   0.347632E-03   0.206641E+03
   0.997873E+02   0.716584E-03   0.455562E-03   0.148949E-03   0.631995E-03   0.483984E-03   0.482122E-04   0.229413E-03   0.640436E-03   0.153720E-03   0.209358E+03
   0.997873E+02   0.716584E-03   0.455562E-03   0.148949E-03   0.631995E-03   0.483984E-03   0.482122E-04   0.229413E-03   0.640436E-03   0.153720E-03   0.209358E+03
   0.997873E+02   0.716584E-03   0.455562E-03   0.985852E-03   0.631995E-03   0.483984E-03   0.482122E-04   0.196470E-03   0.640436E-03   0.153720E-03   0.209304E+03
   0.997873E+02   0.716584E-03   0.455562E-03   0.985852E-03   0.631995E-03   0.483984E-03   0.482122E-04   0.196470E-03   0.640436E-03   0.153720E-03   0.209304E+03
   0.100607E+03   0.275692E-03   0.455562E-03   0.985852E-03   0.631995E-03   0.727134E-03   0.121000E-02   0.196470E-03   0.640436E-03   0.153720E-03   0.210107E+03
   0.100607E+03   0.275692E-03   0.455562E-03   0.985852E-03   0.631995E-03   0.727134E-03   0.121000E-02   0.196470E-03   0.640436E-03   0.153720E-03   0.210107E+03
   0.100540E+03   0.275692E-03   0.455562E-03   0.985852E-03   0.631995E-03   0.727134E-03   0.121000E-02   0.196470E-03   0.666834E-02   0.226817E-03   0.202690E+03
   0.100540E+03   0.275692E-03   0.455562E-03   0.985852E-03   0.631995E-03   0.727134E-03   0.878101E-03   0.196470E-03   0.203752E-02   0.226817E-03   0.207704E+03
   0.100540E+03   0.155137E-03   0.455562E-03   0.306852E-03   0.631995E-03   0.727134E-03   0.878101E-03   0.196470E-03   0.203752E-02   0.131043E-03   0.207583E+03
   0.100540E+03   0.155137E-03   0.455562E-03   0.306852E-03   0.631995E-03   0.727134E-03   0.118985E-02   0.196470E-03   0.101403E-02   0.131043E-03   0.209226E+03
   0.100540E+03   0.155137E-03   0.162658E-03   0.306852E-03   0.631995E-03   0.727134E-03   0.118985E-02   0.196470E-03   0.101403E-02   0.131043E-03   0.209128E+03
   0.100540E+03   0.155137E-03   0.162658E-03   0.306852E-03   0.631995E-03   0.727134E-03   0.118985E-02   0.196470E-03   0.101403E-02   0.131043E-03   0.209128E+03
