a0_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.998767E+02   0.624870E-03   0.113100E+02   0.959278E+01   0.184011E+03
   0.998767E+02   0.624870E-03   0.119184E+02   0.102442E+02   0.183168E+03
   0.998767E+02   0.624870E-03   0.111182E+02   0.987963E+01   0.184274E+03
   0.100311E+03   0.376641E-03   0.892909E+01   0.968578E+01   0.184916E+03
   0.100412E+03   0.376641E-03   0.892909E+01   0.961827E+01   0.184790E+03
   0.100412E+03   0.516478E-03   0.973597E+01   0.900300E+01   0.185141E+03
   0.100412E+03   0.516478E-03   0.108191E+02   0.900300E+01   0.184762E+03
   0.100412E+03   0.516478E-03   0.103469E+02   0.900300E+01   0.185058E+03
   0.100412E+03   0.516478E-03   0.983876E+01   0.957889E+01   0.185550E+03
   0.100412E+03   0.516478E-03   0.983876E+01   0.105839E+02   0.185382E+03
   0.100412E+03   0.516478E-03   0.983876E+01   0.105588E+02   0.185398E+03
   0.100412E+03   0.516478E-03   0.908394E+01   0.107786E+02   0.184875E+03
   0.998832E+02   0.516478E-03   0.908394E+01   0.107786E+02   0.184941E+03
   0.998832E+02   0.516478E-03   0.101924E+02   0.103593E+02   0.185528E+03
   0.998832E+02   0.375127E-03   0.943905E+01   0.103593E+02   0.185378E+03
   0.998832E+02   0.375127E-03   0.943905E+01   0.103593E+02   0.185378E+03
   0.100152E+03   0.375127E-03   0.109436E+02   0.918862E+01   0.184797E+03
   0.100152E+03   0.375127E-03   0.109436E+02   0.918862E+01   0.184797E+03
   0.100152E+03   0.375127E-03   0.109436E+02   0.918862E+01   0.184797E+03
   0.100152E+03   0.375127E-03   0.109436E+02   0.108241E+02   0.184677E+03
   0.996802E+02   0.375127E-03   0.108929E+02   0.973700E+01   0.184997E+03
   0.996802E+02   0.375127E-03   0.101050E+02   0.973700E+01   0.185432E+03
   0.996802E+02   0.375127E-03   0.966803E+01   0.117064E+02   0.184035E+03
   0.996802E+02   0.375127E-03   0.109014E+02   0.117064E+02   0.183600E+03
   0.996802E+02   0.272706E-03   0.935522E+01   0.117064E+02   0.183015E+03
   0.996802E+02   0.272706E-03   0.965137E+01   0.100935E+02   0.184528E+03
   0.996802E+02   0.272706E-03   0.910218E+01   0.100935E+02   0.184207E+03
   0.991339E+02   0.270096E-03   0.108529E+02   0.100935E+02   0.183116E+03
   0.991339E+02   0.270096E-03   0.108932E+02   0.100935E+02   0.183081E+03
