Km_a0         Km_a1         Km_a2         Km_a3         Km_a4         Km_a5         Km_a6         Km_a7         Km_a8         Km_a9         Km_a10        Km_a11        Km_a12        Km_a13        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.287141E+02  0.386467E+01 -0.175374E+01  0.312060E+01  0.376666E+01  0.113489E+01 -0.145588E+01 -0.517141E+01 -0.860627E+01 -0.227755E+02 -0.373147E+01  0.493780E+01  0.773298E+01  0.218550E+02  0.649555E-03  0.323673E-02  0.156233E-01  0.138297E-01  0.683379E-02  0.270987E+03
  0.287141E+02  0.386467E+01 -0.175374E+01  0.312060E+01  0.376666E+01  0.937043E+00 -0.145588E+01 -0.424837E+01 -0.860627E+01 -0.260863E+02 -0.966514E+00  0.493780E+01  0.906893E+01  0.204711E+02  0.649555E-03  0.323673E-02  0.176940E-01  0.139980E-01  0.604358E-02  0.271222E+03
  0.287141E+02  0.386467E+01 -0.175374E+01  0.312060E+01  0.376666E+01 -0.395272E+00 -0.145588E+01 -0.182645E+01 -0.860627E+01 -0.260863E+02 -0.966514E+00  0.398028E+01  0.789202E+01  0.193438E+02  0.285001E-02  0.323673E-02  0.181150E-01  0.120965E-01  0.609998E-02  0.269447E+03
  0.280205E+02  0.386467E+01 -0.175374E+01  0.312060E+01  0.376666E+01 -0.395272E+00 -0.145588E+01 -0.182645E+01 -0.860627E+01 -0.260863E+02 -0.125007E+01  0.398028E+01  0.976640E+01  0.193438E+02  0.407127E-02  0.534990E-02  0.191730E-01  0.114364E-01  0.711307E-02  0.270542E+03
  0.280205E+02  0.365541E+01 -0.175374E+01  0.312060E+01  0.247760E+01  0.496007E+00 -0.145588E+01 -0.182645E+01 -0.860627E+01 -0.260863E+02 -0.125007E+01  0.398028E+01  0.911789E+01  0.168569E+02  0.290052E-02  0.604618E-02  0.184374E-01  0.111277E-01  0.791785E-02  0.269682E+03
  0.280205E+02  0.365541E+01 -0.117411E+01  0.312060E+01  0.247760E+01  0.496007E+00 -0.145588E+01 -0.182645E+01 -0.860627E+01 -0.260863E+02  0.365822E+01  0.398028E+01  0.585195E+01  0.168569E+02  0.217028E-02  0.615641E-02  0.191233E-01  0.107143E-01  0.946990E-02  0.266118E+03
  0.280205E+02  0.365541E+01 -0.117411E+01  0.312060E+01  0.247760E+01  0.496007E+00 -0.433152E+01 -0.370040E+01 -0.682356E+01 -0.260863E+02  0.365822E+01  0.398028E+01  0.748366E+01  0.168569E+02  0.309370E-02  0.592489E-02  0.187202E-01  0.107143E-01  0.928241E-02  0.263990E+03
  0.280205E+02  0.365541E+01 -0.117411E+01  0.312060E+01  0.247760E+01  0.323057E+01 -0.433152E+01 -0.370040E+01 -0.682356E+01 -0.260863E+02  0.365822E+01 -0.338298E+00  0.748366E+01  0.168569E+02  0.218744E-02  0.386403E-02  0.188636E-01  0.100486E-01  0.810112E-02  0.262941E+03
  0.280205E+02  0.365541E+01 -0.152714E+01  0.312060E+01  0.443181E+01  0.323057E+01 -0.433152E+01 -0.370040E+01 -0.822625E+01 -0.255843E+02  0.102174E+01 -0.338298E+00  0.707713E+01  0.168569E+02  0.265716E-02  0.557824E-02  0.190493E-01  0.918535E-02  0.907560E-02  0.268686E+03
  0.280205E+02  0.365541E+01 -0.152714E+01  0.312060E+01  0.443181E+01  0.323057E+01 -0.243980E+01 -0.494630E+01 -0.688156E+01 -0.236323E+02  0.102174E+01  0.199820E+01  0.707713E+01  0.143278E+02  0.417637E-02  0.524642E-02  0.198202E-01  0.101309E-01  0.101744E-01  0.268606E+03
  0.280205E+02  0.365541E+01 -0.152714E+01  0.312060E+01  0.443181E+01  0.150041E+01 -0.677638E+00 -0.494630E+01 -0.688156E+01 -0.266801E+02 -0.416294E+01  0.199820E+01  0.707713E+01  0.131001E+02  0.349445E-02  0.445021E-02  0.180447E-01  0.113490E-01  0.109839E-01  0.266648E+03
  0.280205E+02  0.365541E+01 -0.152714E+01  0.312060E+01  0.557789E+01  0.150041E+01 -0.677638E+00 -0.494630E+01 -0.688156E+01 -0.266801E+02 -0.416294E+01  0.199820E+01  0.785825E+01  0.131001E+02  0.333666E-02  0.438423E-02  0.175773E-01  0.108858E-01  0.109839E-01  0.267541E+03
