a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.973417E+02  -0.625349E+00   0.826303E+01   0.758866E-03   0.101323E+02   0.104673E+02   0.137137E+02   0.138911E+02   0.173300E+03  -0.735407E+01   0.000000E+00   0.180654E+03  -0.361308E+03
   0.973417E+02   0.580424E+01   0.826303E+01   0.460247E-03   0.647884E+01   0.124437E+02   0.114931E+02   0.106472E+02   0.166284E+03  -0.117422E+02   0.000000E+00   0.178026E+03  -0.356052E+03
   0.973417E+02   0.580424E+01  -0.900490E+01   0.848792E-03   0.755602E+01   0.112905E+02   0.120165E+02   0.122577E+02   0.170555E+03  -0.896688E+01   0.000000E+00   0.179522E+03  -0.359044E+03
   0.973417E+02  -0.322173E+01  -0.823643E+01   0.848792E-03   0.841480E+01   0.104499E+02   0.120165E+02   0.122577E+02   0.171801E+03  -0.822788E+01   0.000000E+00   0.180029E+03  -0.360058E+03
   0.985033E+02  -0.322173E+01   0.437736E+01   0.848792E-03   0.838876E+01   0.903636E+01   0.131904E+02   0.141565E+02   0.173325E+03  -0.755848E+01   0.000000E+00   0.180883E+03  -0.361767E+03
   0.985033E+02   0.639124E+01   0.687812E+01   0.848792E-03   0.838876E+01   0.113469E+02   0.131904E+02   0.144608E+02   0.172164E+03  -0.785355E+01   0.000000E+00   0.180018E+03  -0.360035E+03
   0.985033E+02   0.604287E+01   0.687812E+01   0.848792E-03   0.100612E+02   0.113469E+02   0.131904E+02   0.144608E+02   0.172558E+03  -0.764996E+01   0.000000E+00   0.180208E+03  -0.360416E+03
   0.998867E+02   0.389255E+01   0.278273E+01   0.894182E-03   0.100612E+02   0.134698E+02   0.139588E+02   0.138047E+02   0.170178E+03  -0.866866E+01   0.000000E+00   0.178847E+03  -0.357693E+03
   0.998867E+02   0.389255E+01   0.278273E+01   0.894182E-03   0.100612E+02   0.134698E+02   0.137969E+02   0.141404E+02   0.170186E+03  -0.866104E+01   0.000000E+00   0.178847E+03  -0.357694E+03
   0.998867E+02  -0.558142E+01   0.278273E+01   0.894182E-03   0.100612E+02   0.134698E+02   0.137969E+02   0.115692E+02   0.168798E+03  -0.925989E+01   0.000000E+00   0.178058E+03  -0.356116E+03
   0.998867E+02  -0.669512E+01   0.278273E+01   0.894182E-03   0.100612E+02   0.134698E+02   0.139175E+02   0.115705E+02   0.168211E+03  -0.925073E+01   0.000000E+00   0.177462E+03  -0.354923E+03
   0.998867E+02   0.470346E+01   0.705537E+01   0.894182E-03   0.870303E+01   0.108218E+02   0.139175E+02   0.109259E+02   0.170585E+03  -0.845226E+01   0.000000E+00   0.179037E+03  -0.358075E+03
   0.970149E+02   0.470346E+01   0.143846E+01   0.503867E-03   0.870303E+01   0.969189E+01   0.139175E+02   0.109259E+02   0.173074E+03  -0.827627E+01   0.000000E+00   0.181350E+03  -0.362701E+03
   0.970149E+02   0.470346E+01   0.143846E+01   0.836888E-03   0.870303E+01   0.988231E+01   0.140981E+02   0.952186E+01   0.171385E+03  -0.946475E+01   0.000000E+00   0.180850E+03  -0.361700E+03
   0.970149E+02   0.559988E+01   0.143846E+01   0.836888E-03   0.870303E+01   0.125402E+02   0.140981E+02   0.144967E+02   0.172217E+03  -0.819487E+01   0.000000E+00   0.180412E+03  -0.360824E+03
   0.970149E+02   0.559988E+01   0.272941E+01   0.836888E-03   0.114548E+02   0.746428E+01   0.140981E+02   0.117809E+02   0.171364E+03  -0.887631E+01   0.000000E+00   0.180240E+03  -0.360481E+03
   0.970149E+02   0.650706E+01   0.272941E+01   0.836888E-03   0.801064E+01   0.113667E+02   0.140981E+02   0.125896E+02   0.171525E+03  -0.818018E+01   0.000000E+00   0.179705E+03  -0.359410E+03
   0.970149E+02   0.650706E+01   0.187290E+01   0.836888E-03   0.886722E+01   0.945356E+01   0.140981E+02   0.125896E+02   0.172321E+03  -0.749747E+01   0.000000E+00   0.179818E+03  -0.359637E+03
   0.970149E+02   0.446615E+01   0.187290E+01   0.836888E-03   0.826582E+01   0.125406E+02   0.174065E+02   0.136015E+02   0.172052E+03  -0.883666E+01   0.000000E+00   0.180889E+03  -0.361777E+03
   0.970149E+02  -0.248016E+01   0.187290E+01   0.836888E-03   0.826582E+01   0.106094E+02   0.103101E+02   0.136015E+02   0.171458E+03  -0.902919E+01   0.000000E+00   0.180487E+03  -0.360974E+03
   0.970149E+02   0.144880E+01   0.109266E+01   0.836888E-03   0.826582E+01   0.112230E+02   0.103101E+02   0.129657E+02   0.172287E+03  -0.930599E+01   0.000000E+00   0.181593E+03  -0.363186E+03
   0.970149E+02   0.144880E+01   0.109266E+01   0.836888E-03   0.734143E+01   0.114051E+02   0.134079E+02   0.156071E+02   0.172997E+03  -0.859620E+01   0.000000E+00   0.181593E+03  -0.363186E+03
   0.970149E+02   0.511819E+01  -0.644704E+01   0.836888E-03   0.770877E+01   0.117359E+02   0.127320E+02   0.156071E+02   0.171913E+03  -0.855720E+01   0.000000E+00   0.180470E+03  -0.360940E+03
   0.970149E+02   0.511819E+01  -0.644704E+01   0.836888E-03   0.807839E+01   0.117359E+02   0.127320E+02   0.162910E+02   0.172035E+03  -0.843518E+01   0.000000E+00   0.180470E+03  -0.360940E+03
   0.970149E+02   0.511819E+01  -0.698464E+01   0.836888E-03   0.912767E+01   0.122866E+02   0.127320E+02   0.124090E+02   0.171945E+03  -0.843997E+01   0.000000E+00   0.180385E+03  -0.360770E+03
   0.970149E+02   0.511819E+01  -0.698464E+01   0.836888E-03   0.110202E+02   0.118695E+02   0.122234E+02   0.177013E+02   0.171544E+03  -0.884034E+01   0.000000E+00   0.180384E+03  -0.360769E+03
   0.970149E+02   0.511819E+01  -0.619398E+01   0.836888E-03   0.110202E+02   0.113964E+02   0.122234E+02   0.160002E+02   0.172254E+03  -0.825437E+01   0.000000E+00   0.180508E+03  -0.361017E+03
   0.970149E+02  -0.364975E+01  -0.619398E+01   0.836888E-03   0.117389E+02   0.113964E+02   0.122234E+02   0.160002E+02   0.171328E+03  -0.852088E+01   0.000000E+00   0.179849E+03  -0.359698E+03
   0.970149E+02  -0.364975E+01  -0.619398E+01   0.836888E-03   0.117389E+02   0.113964E+02   0.983309E+01   0.128243E+02   0.169807E+03  -0.100423E+02   0.000000E+00   0.179849E+03  -0.359699E+03
   0.972879E+02  -0.364975E+01  -0.232978E+01   0.741192E-03   0.105887E+02   0.114720E+02   0.151877E+02   0.128243E+02   0.173230E+03  -0.789505E+01   0.000000E+00   0.181125E+03  -0.362250E+03
   0.977552E+02  -0.684680E+00  -0.232978E+01   0.741192E-03   0.105887E+02   0.114720E+02   0.112013E+02   0.864359E+01   0.171062E+03  -0.117513E+02   0.000000E+00   0.182813E+03  -0.365627E+03
   0.977552E+02   0.797385E+00  -0.232978E+01   0.741192E-03   0.111710E+02   0.114720E+02   0.137673E+02   0.864359E+01   0.171849E+03  -0.111495E+02   0.000000E+00   0.182998E+03  -0.365997E+03
