a0_min        a0_flood      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.102508E+03  0.550002E+02  0.291987E-03  0.901871E+01  0.775576E+01  0.143024E-03  0.161839E+02  0.371366E+02
  0.102508E+03  0.550002E+02  0.291987E-03  0.901871E+01  0.775393E+01  0.143024E-03  0.140356E+02  0.372947E+02
  0.102508E+03  0.550002E+02  0.291987E-03  0.104150E+02  0.775393E+01  0.143024E-03  0.140356E+02  0.372634E+02
  0.102508E+03  0.544902E+02  0.291987E-03  0.116648E+02  0.739334E+01  0.800345E-03  0.144126E+02  0.365148E+02
  0.102508E+03  0.553987E+02  0.291987E-03  0.116648E+02  0.865039E+01  0.156570E-02  0.133747E+02  0.364289E+02
  0.102772E+03  0.553987E+02  0.481460E-03  0.110992E+02  0.935943E+01  0.153498E-02  0.150659E+02  0.357293E+02
  0.102772E+03  0.553987E+02  0.426517E-03  0.118658E+02  0.811117E+01  0.137182E-02  0.147778E+02  0.355925E+02
  0.102772E+03  0.553987E+02  0.471983E-03  0.118658E+02  0.811117E+01  0.294860E-02  0.147778E+02  0.340216E+02
  0.102772E+03  0.553987E+02  0.471983E-03  0.130349E+02  0.863830E+01  0.314715E-02  0.143674E+02  0.335024E+02
  0.102772E+03  0.553987E+02  0.471983E-03  0.133373E+02  0.863830E+01  0.272913E-02  0.156952E+02  0.335258E+02
  0.102772E+03  0.553987E+02  0.471983E-03  0.133373E+02  0.863830E+01  0.272913E-02  0.144989E+02  0.336163E+02
  0.102772E+03  0.553987E+02  0.461938E-03  0.133373E+02  0.863830E+01  0.306267E-02  0.163289E+02  0.332522E+02
  0.102772E+03  0.553987E+02  0.305248E-03  0.119824E+02  0.907646E+01  0.423705E-02  0.163289E+02  0.332341E+02
  0.102772E+03  0.553987E+02  0.305248E-03  0.113390E+02  0.812269E+01  0.359208E-02  0.153447E+02  0.337245E+02
  0.102772E+03  0.553987E+02  0.305248E-03  0.103586E+02  0.105027E+02  0.359208E-02  0.158160E+02  0.341913E+02
  0.102772E+03  0.553987E+02  0.305248E-03  0.969904E+01  0.903497E+01  0.264745E-02  0.156801E+02  0.349807E+02
  0.102772E+03  0.553987E+02  0.305248E-03  0.951057E+01  0.992901E+01  0.277490E-02  0.148784E+02  0.349966E+02
  0.102772E+03  0.549229E+02  0.305248E-03  0.951057E+01  0.105918E+02  0.414818E-02  0.141585E+02  0.346213E+02
  0.102772E+03  0.549229E+02  0.305248E-03  0.101465E+02  0.105318E+02  0.177114E-02  0.145098E+02  0.363019E+02
  0.102772E+03  0.549229E+02  0.305248E-03  0.947551E+01  0.903624E+01  0.260551E-02  0.145261E+02  0.357137E+02
