Kmin_a0       Kmin_a1       Kmin_a2       Kmin_a3       Kmin_a4       Kmin_a5       Kmin_a6       Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.297107E+02  0.126688E+01 -0.335861E+01  0.545005E+01  0.893512E+01  0.847593E+01  0.598225E-02  0.206355E-01  0.119194E-02  0.157598E-01  0.195119E-02  0.203361E-02 -0.850077E+03
  0.297107E+02  0.126688E+01 -0.335861E+01  0.545005E+01  0.893512E+01  0.343116E+01 -0.318438E+00  0.193108E-01  0.130477E-02  0.161221E-01  0.224997E-02  0.289186E-02 -0.849038E+03
  0.297107E+02 -0.391675E+00 -0.388419E+01  0.545005E+01  0.893512E+01  0.343116E+01 -0.318438E+00  0.201472E-01  0.130477E-02  0.161221E-01  0.117580E-02  0.240164E-02 -0.847608E+03
  0.297107E+02 -0.391675E+00 -0.388419E+01  0.614634E+01  0.908917E+01  0.343116E+01 -0.318438E+00  0.209929E-01  0.535589E-04  0.167770E-01  0.638939E-03  0.189064E-02 -0.847530E+03
  0.301787E+02 -0.391675E+00 -0.388419E+01  0.614634E+01  0.908917E+01  0.343116E+01 -0.318438E+00  0.223241E-01  0.535589E-04  0.177057E-01  0.115541E-02  0.116077E-02 -0.846519E+03
  0.301787E+02  0.677640E+00 -0.388419E+01  0.614634E+01  0.908917E+01  0.343116E+01 -0.318438E+00  0.212494E-01  0.535589E-04  0.180439E-01  0.183253E-02  0.116077E-02 -0.846914E+03
  0.301787E+02  0.677640E+00 -0.388419E+01  0.614634E+01  0.908917E+01  0.683088E+01 -0.318438E+00  0.223306E-01  0.942736E-03  0.175239E-01  0.132036E-02  0.116077E-02 -0.847098E+03
  0.301787E+02  0.677640E+00 -0.270973E+01  0.614634E+01  0.908917E+01  0.625948E+01  0.144781E+01  0.223306E-01  0.942736E-03  0.172308E-01  0.233319E-02  0.169359E-02 -0.848686E+03
  0.301787E+02  0.677640E+00 -0.489913E+01  0.614634E+01  0.841045E+01  0.625948E+01 -0.326773E+00  0.211945E-01  0.315531E-02  0.165769E-01  0.240137E-02  0.262308E-02 -0.847208E+03
  0.301787E+02  0.677640E+00 -0.489913E+01  0.614634E+01  0.841045E+01  0.438028E+01 -0.326773E+00  0.226327E-01  0.267028E-02  0.170477E-01  0.117691E-02  0.242756E-02 -0.847227E+03
  0.301787E+02  0.677640E+00 -0.489913E+01  0.614634E+01  0.841045E+01  0.443888E+01 -0.232439E+01  0.211459E-01  0.777629E-03  0.167723E-01  0.636520E-04  0.126254E-02 -0.846433E+03
  0.307194E+02  0.677640E+00 -0.489913E+01  0.641215E+01  0.841045E+01  0.443888E+01 -0.379900E+01  0.215597E-01  0.864571E-03  0.164325E-01  0.636520E-04  0.526924E-03 -0.847715E+03
  0.298776E+02  0.677640E+00 -0.489913E+01  0.641215E+01  0.899007E+01  0.443888E+01 -0.379900E+01  0.224001E-01  0.352571E-02  0.155087E-01  0.636520E-04  0.526924E-03 -0.848258E+03
  0.298776E+02  0.677640E+00 -0.489913E+01  0.641215E+01  0.899007E+01  0.443888E+01 -0.329798E+01  0.230859E-01  0.311231E-02  0.170607E-01  0.960692E-03  0.526924E-03 -0.848170E+03
  0.302303E+02  0.677640E+00 -0.489913E+01  0.641215E+01  0.879385E+01  0.443888E+01 -0.329798E+01  0.219255E-01  0.302723E-02  0.168891E-01  0.573916E-03  0.250935E-02 -0.847208E+03
  0.302303E+02  0.677640E+00 -0.575276E+01  0.641215E+01  0.879385E+01  0.443888E+01 -0.286901E+01  0.233954E-01  0.207834E-02  0.158597E-01  0.163390E-02  0.108442E-02 -0.847689E+03
  0.302303E+02  0.677640E+00 -0.414064E+01  0.641215E+01  0.105471E+02  0.443888E+01 -0.161290E+01  0.238134E-01  0.262452E-02  0.159168E-01  0.186339E-02  0.182220E-03 -0.847457E+03
  0.302303E+02  0.127034E+01 -0.503055E+01  0.641215E+01  0.105471E+02  0.443888E+01 -0.161290E+01  0.242763E-01  0.332991E-02  0.167214E-01  0.286225E-03  0.497636E-03 -0.848434E+03
  0.302303E+02  0.127034E+01 -0.503055E+01  0.641215E+01  0.105471E+02  0.443888E+01 -0.161290E+01  0.242763E-01  0.351597E-02  0.165966E-01  0.286225E-03  0.770049E-03 -0.848467E+03
  0.302303E+02  0.127034E+01 -0.331080E+01  0.516625E+01  0.118918E+02  0.639097E+01 -0.161290E+01  0.247903E-01  0.277508E-02  0.160402E-01  0.180544E-02  0.438223E-03 -0.851076E+03
  0.302303E+02  0.127034E+01 -0.331080E+01  0.516625E+01  0.118918E+02  0.421104E+01 -0.161290E+01  0.244311E-01  0.239444E-02  0.163926E-01  0.673114E-03  0.438223E-03 -0.850686E+03
  0.302303E+02  0.127034E+01 -0.433285E+01  0.516625E+01  0.118918E+02  0.351498E+01 -0.161290E+01  0.223920E-01  0.330698E-03  0.157475E-01  0.223043E-02  0.438223E-03 -0.850051E+03
