Kmin_a0       Kmin_a1       Kmin_a2       Kmin_a3       Kmin_a4       Kmin_a5       Kmin_a6       Kmin_a7       Kmin_a8       Kmin_a9       Kmin_a10      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.316575E+02  0.780398E+00 -0.645606E+01  0.308542E+01  0.941152E+01  0.499751E+01  0.340755E+01 -0.970107E+01 -0.419224E+01 -0.123028E+02  0.551430E+01  0.478373E-02  0.184240E-01  0.136233E-02  0.105381E-01  0.298029E-02 -0.822508E+03
  0.316575E+02  0.780398E+00 -0.645606E+01  0.308542E+01  0.941152E+01  0.499751E+01  0.657120E+01 -0.970107E+01 -0.419224E+01 -0.872035E+01  0.551430E+01  0.600288E-02  0.173935E-01  0.575080E-03  0.105381E-01  0.248657E-02 -0.825763E+03
  0.316575E+02  0.780398E+00 -0.486367E+01  0.334326E+01  0.941152E+01  0.499751E+01  0.811450E+01 -0.970107E+01 -0.419224E+01 -0.872035E+01  0.559601E+01  0.600288E-02  0.170427E-01  0.296731E-03  0.906163E-02  0.139035E-02 -0.827153E+03
  0.316575E+02  0.780398E+00 -0.486367E+01  0.334326E+01  0.721932E+01  0.499751E+01  0.521787E+01 -0.101941E+02 -0.419224E+01 -0.872035E+01  0.751382E+01  0.550664E-02  0.163979E-01  0.296731E-03  0.991747E-02  0.453107E-03 -0.823158E+03
  0.316575E+02  0.780398E+00 -0.486367E+01  0.334326E+01  0.665204E+01  0.499751E+01  0.248601E+01 -0.101941E+02 -0.419224E+01 -0.995023E+01  0.751382E+01  0.576184E-02  0.172954E-01  0.685565E-03  0.924015E-02  0.366387E-02 -0.822371E+03
  0.316575E+02  0.780398E+00 -0.667672E+01  0.411631E+01  0.665204E+01  0.499751E+01  0.248601E+01 -0.101941E+02 -0.291014E+01 -0.107333E+02  0.751382E+01  0.475289E-02  0.172306E-01  0.685565E-03  0.994053E-02  0.404462E-02 -0.822239E+03
  0.316575E+02  0.780398E+00 -0.667672E+01  0.615597E+01  0.665204E+01  0.447192E+01  0.248601E+01 -0.101941E+02 -0.291014E+01 -0.107333E+02  0.751382E+01  0.322855E-02  0.199378E-01  0.685565E-03  0.949488E-02  0.257409E-02 -0.822819E+03
  0.316575E+02  0.780398E+00 -0.339718E+01  0.615597E+01  0.680608E+01  0.447192E+01  0.248601E+01 -0.101941E+02 -0.291014E+01 -0.107333E+02  0.690735E+01  0.369679E-02  0.191923E-01  0.573297E-03  0.996490E-02  0.298000E-02 -0.821837E+03
  0.316575E+02  0.780398E+00 -0.484337E+01  0.615597E+01  0.680608E+01  0.447192E+01  0.483362E+01 -0.101941E+02 -0.505988E+01 -0.966403E+01  0.690735E+01  0.537583E-02  0.189069E-01  0.174016E-03  0.112682E-01  0.200297E-02 -0.820903E+03
  0.316575E+02  0.780398E+00 -0.639270E+01  0.506394E+01  0.732529E+01  0.447192E+01  0.483362E+01 -0.101941E+02 -0.505988E+01 -0.966403E+01  0.690735E+01  0.618417E-02  0.184342E-01  0.174016E-03  0.104923E-01  0.200297E-02 -0.821176E+03
  0.316575E+02  0.780398E+00 -0.639270E+01  0.506394E+01  0.675388E+01  0.623817E+01  0.483362E+01 -0.101941E+02 -0.505988E+01 -0.966403E+01  0.690735E+01  0.690445E-02  0.163284E-01  0.174016E-03  0.113880E-01  0.186723E-02 -0.821080E+03
  0.316575E+02  0.780398E+00 -0.639270E+01  0.506394E+01  0.675388E+01  0.623817E+01  0.508999E+01 -0.114786E+02 -0.505988E+01 -0.116767E+02  0.690735E+01  0.805564E-02  0.175253E-01  0.174016E-03  0.108320E-01  0.274100E-02 -0.823249E+03
  0.316575E+02  0.780398E+00 -0.639270E+01  0.417519E+01  0.675388E+01  0.623817E+01  0.508999E+01 -0.114786E+02 -0.505988E+01 -0.116181E+02  0.490973E+01  0.670406E-02  0.158047E-01  0.174016E-03  0.112281E-01  0.248319E-02 -0.822612E+03
  0.316575E+02  0.780398E+00 -0.639270E+01  0.417519E+01  0.675388E+01  0.623817E+01  0.508999E+01 -0.114786E+02 -0.505988E+01 -0.116181E+02  0.807466E+01  0.603532E-02  0.155241E-01  0.905634E-03  0.119684E-01  0.326349E-02 -0.823085E+03
  0.316575E+02  0.780398E+00 -0.639270E+01  0.417519E+01  0.675388E+01  0.623817E+01  0.508999E+01 -0.114786E+02 -0.505988E+01 -0.116181E+02  0.480872E+01  0.513676E-02  0.148602E-01  0.100584E-02  0.125919E-01  0.288768E-02 -0.822622E+03
  0.316575E+02  0.780398E+00 -0.639270E+01  0.476304E+01  0.675388E+01  0.623817E+01  0.508999E+01 -0.116748E+02 -0.505988E+01 -0.116181E+02  0.480872E+01  0.505942E-02  0.147042E-01  0.654224E-03  0.143941E-01  0.272347E-02 -0.822667E+03
  0.316575E+02  0.780398E+00 -0.639270E+01  0.476304E+01  0.590164E+01  0.734650E+01  0.273693E+01 -0.116748E+02 -0.505988E+01 -0.116181E+02  0.480872E+01  0.376403E-02  0.143073E-01  0.137639E-02  0.147165E-01  0.272347E-02 -0.823181E+03
  0.316575E+02  0.780398E+00 -0.639270E+01  0.476304E+01  0.590164E+01  0.734650E+01  0.338875E+01 -0.116748E+02 -0.505988E+01 -0.116181E+02  0.480872E+01  0.369342E-02  0.144298E-01  0.176723E-02  0.147165E-01  0.974368E-03 -0.822977E+03
  0.316575E+02  0.780398E+00 -0.639270E+01  0.476304E+01  0.733535E+01  0.734650E+01  0.338875E+01 -0.116748E+02 -0.505988E+01 -0.815467E+01  0.480872E+01  0.491681E-02  0.144298E-01  0.193638E-02  0.146031E-01  0.974368E-03 -0.823028E+03
  0.316575E+02  0.780398E+00 -0.639270E+01  0.648279E+01  0.608945E+01  0.734650E+01  0.534084E+01 -0.116748E+02 -0.505988E+01 -0.815467E+01  0.480872E+01  0.629791E-02  0.141282E-01  0.263724E-02  0.154626E-01  0.197324E-02 -0.825348E+03
