Kmin_a0        Kmin_a1        Kmin_a2        Kmin_a3        Kmin_a4        Kmin_a5        Kmin_a6        Kmin_a7        Kmin_a8        Kmin_a9        Kmin_a10       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.306171E+02   0.174371E+01  -0.557803E+01   0.380134E+01   0.820084E+01   0.887282E+01   0.584125E+00  -0.676421E+01  -0.444705E+01  -0.123531E+02   0.533280E+01   0.468273E-02   0.140861E-01   0.834528E-03   0.131995E-02   0.955900E-03  -0.819826E+03
   0.314051E+02   0.163483E+01  -0.506879E+01   0.453274E+01   0.716664E+01   0.325852E+01   0.432718E+01  -0.106349E+02  -0.668483E+01  -0.111439E+02   0.811504E+01   0.840260E-02   0.978732E-02   0.200315E-01   0.187472E-01   0.400617E-02  -0.824359E+03
   0.315493E+02   0.637071E+00  -0.650232E+01   0.629793E+01   0.716664E+01   0.605872E+01   0.375648E+01  -0.833806E+01  -0.281718E+01  -0.747741E+01   0.452445E+01   0.124869E-02   0.275437E-02   0.390919E-02   0.233781E-02   0.755633E-03  -0.819791E+03
   0.315493E+02   0.637071E+00  -0.506593E+01   0.573924E+01   0.856553E+01   0.645348E+01   0.595270E+01  -0.113389E+02  -0.281775E+01  -0.100090E+02   0.416225E+01   0.936105E-02   0.733387E-02   0.100517E-01   0.142162E-01   0.192758E-01  -0.825022E+03
   0.315493E+02   0.183005E+01  -0.506593E+01   0.535013E+01   0.101548E+02   0.311844E+01   0.609523E+01  -0.868843E+01  -0.389553E+01  -0.114131E+02   0.761059E+01   0.323404E-02   0.115096E-01   0.241077E-02   0.880456E-02   0.773310E-02  -0.823107E+03
   0.313090E+02   0.145156E+01  -0.534076E+01   0.566986E+01   0.836847E+01   0.552548E+01   0.139742E+01  -0.962148E+01  -0.181794E+00  -0.106017E+02   0.482705E+01   0.389403E-02   0.692721E-02   0.159280E-01   0.120382E-01   0.491211E-02  -0.821421E+03
   0.313090E+02   0.223487E+01  -0.534094E+01   0.446562E+01   0.568607E+01   0.886416E+01   0.299751E+00  -0.735900E+01  -0.908578E+01  -0.118646E+02   0.558614E+01   0.426159E-02   0.310604E-01   0.142954E-01   0.436050E-02   0.543421E-02  -0.827318E+03
   0.313090E+02   0.231763E+01  -0.493026E+01   0.623072E+01   0.965141E+01   0.350645E+01   0.511680E+01  -0.692106E+01  -0.864486E+01  -0.115009E+02   0.578100E+01   0.572383E-03   0.568951E-02   0.242549E-02   0.464761E-02   0.875372E-02  -0.821815E+03
   0.306535E+02   0.165181E+01  -0.348484E+01   0.492652E+01   0.873120E+01   0.650047E+01   0.478810E+01  -0.821710E+01  -0.283521E+01  -0.129906E+02   0.578100E+01   0.338335E-02   0.145147E-01   0.100566E-01   0.102148E-01   0.140625E-01  -0.821640E+03
   0.307093E+02   0.175064E+01  -0.493804E+01   0.542306E+01   0.755035E+01   0.646864E+01   0.148242E+01  -0.568894E+01  -0.567586E+01  -0.100778E+02   0.634129E+01   0.800376E-02   0.118632E-01   0.154620E-01   0.111627E-02   0.337362E-02  -0.819889E+03
   0.303588E+02   0.111153E+01  -0.493804E+01   0.241732E+01   0.590308E+01   0.472669E+01   0.645930E+00  -0.657707E+01  -0.507936E+01  -0.110132E+02   0.714578E+01   0.910846E-02   0.144027E-01   0.745055E-02   0.773272E-02   0.131206E-01  -0.824197E+03
   0.302415E+02   0.767047E+00  -0.414991E+01   0.300469E+01   0.707304E+01   0.553598E+01   0.572339E+01  -0.817759E+01  -0.496708E+01  -0.122557E+02   0.612798E+01   0.123554E-02   0.377462E-02   0.635143E-02   0.297073E-02   0.711235E-03  -0.819999E+03
   0.302415E+02   0.796241E+00  -0.414991E+01   0.432604E+01   0.685737E+01   0.510333E+01   0.394962E+01  -0.961009E+01  -0.174274E+01  -0.915553E+01   0.115894E+01   0.290692E-02   0.335011E-02   0.223755E-01   0.282452E-02   0.168924E-02  -0.822390E+03
   0.302415E+02   0.180462E+01  -0.414991E+01   0.643147E+01   0.679697E+01   0.846815E+01   0.782525E+01  -0.731398E+01  -0.255546E+01  -0.995336E+01   0.631009E+01   0.187378E-02   0.687730E-02   0.228066E-02   0.874936E-02   0.196205E-02  -0.826560E+03
   0.313420E+02   0.211715E-01  -0.338157E+01   0.509856E+01   0.613780E+01   0.508457E+01   0.230571E+01  -0.677038E+01  -0.549551E+01  -0.124015E+02   0.410226E+01   0.593495E-02   0.314253E-02   0.846168E-03   0.724158E-03   0.440045E-02  -0.821111E+03
