a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100447E+03  -0.204637E+01  -0.615732E+01  -0.327996E+01   0.627508E-03   0.429042E-03   0.135052E-03   0.147358E+03   0.000000E+00   0.000000E+00   0.147358E+03  -0.294716E+03
   0.100447E+03   0.300745E+00   0.219230E+01  -0.156863E+01   0.627508E-03   0.373474E-04   0.135052E-03   0.148805E+03   0.000000E+00   0.000000E+00   0.148805E+03  -0.297610E+03
   0.101867E+03   0.300745E+00   0.219230E+01  -0.156863E+01   0.627508E-03   0.373474E-04   0.135052E-03   0.149785E+03   0.000000E+00   0.000000E+00   0.149785E+03  -0.299570E+03
   0.101867E+03   0.300745E+00   0.219230E+01  -0.125593E+01   0.627508E-03   0.373474E-04   0.135052E-03   0.149776E+03   0.000000E+00   0.000000E+00   0.149776E+03  -0.299552E+03
   0.101867E+03   0.298968E+01   0.219230E+01  -0.125593E+01   0.627508E-03   0.373474E-04   0.135052E-03   0.149271E+03   0.000000E+00   0.000000E+00   0.149271E+03  -0.298542E+03
   0.101867E+03   0.272880E+01   0.173802E+01  -0.299621E+01   0.627508E-03   0.373474E-04   0.135052E-03   0.149111E+03   0.000000E+00   0.000000E+00   0.149111E+03  -0.298222E+03
   0.101867E+03   0.272880E+01   0.188410E+01   0.307353E+01   0.611713E-03   0.373474E-04   0.135052E-03   0.149699E+03   0.000000E+00   0.000000E+00   0.149699E+03  -0.299398E+03
   0.101867E+03   0.272880E+01   0.188410E+01   0.307353E+01   0.611713E-03   0.373474E-04   0.135052E-03   0.149699E+03   0.000000E+00   0.000000E+00   0.149699E+03  -0.299398E+03
   0.101867E+03   0.103714E+00   0.346567E+01   0.120092E+01   0.611713E-03   0.373474E-04   0.135052E-03   0.149656E+03   0.000000E+00   0.000000E+00   0.149656E+03  -0.299312E+03
   0.101867E+03   0.103714E+00   0.346567E+01   0.120092E+01   0.611713E-03   0.373474E-04   0.135052E-03   0.149656E+03   0.000000E+00   0.000000E+00   0.149656E+03  -0.299312E+03
   0.101867E+03  -0.242403E+00   0.346567E+01  -0.407561E+00   0.611713E-03   0.373474E-04   0.135052E-03   0.149675E+03   0.000000E+00   0.000000E+00   0.149675E+03  -0.299350E+03
   0.102185E+03  -0.242403E+00   0.346567E+01   0.671123E+01   0.408820E-04   0.939165E-04   0.135052E-03   0.148820E+03   0.000000E+00   0.000000E+00   0.148820E+03  -0.297640E+03
   0.101729E+03  -0.242403E+00   0.880213E+01  -0.616211E+01   0.408820E-04   0.939165E-04   0.135052E-03   0.149043E+03   0.000000E+00   0.000000E+00   0.149043E+03  -0.298086E+03
   0.101729E+03  -0.242403E+00   0.670943E+01   0.414196E+01   0.301547E-03   0.939165E-04   0.212600E-03   0.149073E+03   0.000000E+00   0.000000E+00   0.149073E+03  -0.298146E+03
   0.101729E+03  -0.242403E+00   0.670943E+01   0.227568E+01   0.301547E-03   0.939165E-04   0.212600E-03   0.149406E+03   0.000000E+00   0.000000E+00   0.149406E+03  -0.298812E+03
   0.101729E+03   0.484186E+00   0.286137E+01   0.227568E+01   0.301547E-03   0.939165E-04   0.212600E-03   0.150341E+03   0.000000E+00   0.000000E+00   0.150341E+03  -0.300682E+03
   0.101729E+03   0.484186E+00  -0.223654E+01   0.627160E+01   0.301547E-03   0.939165E-04   0.212600E-03   0.148788E+03   0.000000E+00   0.000000E+00   0.148788E+03  -0.297576E+03
   0.101729E+03   0.484186E+00  -0.469687E+01  -0.749290E+01   0.301547E-03   0.939165E-04   0.212600E-03   0.149632E+03   0.000000E+00   0.000000E+00   0.149632E+03  -0.299264E+03
   0.101729E+03  -0.305223E+01   0.431863E+01  -0.749290E+01   0.301547E-03   0.939165E-04   0.212600E-03   0.149182E+03   0.000000E+00   0.000000E+00   0.149182E+03  -0.298364E+03
   0.101729E+03  -0.270366E+01   0.431863E+01  -0.111854E+02   0.189663E-03   0.939165E-04   0.212600E-03   0.149452E+03   0.000000E+00   0.000000E+00   0.149452E+03  -0.298904E+03
   0.102954E+03  -0.270366E+01   0.878623E+01  -0.135408E+02   0.189663E-03   0.939165E-04   0.212600E-03   0.147483E+03   0.000000E+00   0.000000E+00   0.147483E+03  -0.294966E+03
