a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.999880E+02   0.430320E+01   0.115431E-02   0.906210E-03   0.295959E-03   0.898421E-03   0.103157E-02   0.918499E-03   0.202019E-02   0.461066E-03   0.133290E-03   0.205221E+03   0.000000E+00   0.000000E+00   0.205221E+03  -0.410442E+03
   0.999880E+02   0.430320E+01   0.115431E-02   0.906210E-03   0.114685E-02   0.898421E-03   0.103157E-02   0.918499E-03   0.202019E-02   0.461066E-03   0.133290E-03   0.204059E+03   0.000000E+00   0.000000E+00   0.204059E+03  -0.408118E+03
   0.101374E+03   0.422420E+01   0.115431E-02   0.906210E-03   0.114685E-02   0.898421E-03   0.103157E-02   0.918499E-03   0.202019E-02   0.461066E-03   0.133290E-03   0.202938E+03   0.000000E+00   0.000000E+00   0.202938E+03  -0.405876E+03
   0.100287E+03   0.422420E+01   0.115431E-02   0.657321E-03   0.114685E-02   0.898421E-03   0.103157E-02   0.918499E-03   0.455478E-02   0.461066E-03   0.113046E-02   0.200613E+03   0.000000E+00   0.000000E+00   0.200613E+03  -0.401226E+03
   0.100287E+03   0.422420E+01   0.115431E-02   0.657321E-03   0.114685E-02   0.898421E-03   0.103157E-02   0.918499E-03   0.137333E-02   0.979923E-03   0.113046E-02   0.203919E+03   0.000000E+00   0.000000E+00   0.203919E+03  -0.407838E+03
   0.100061E+03   0.176989E+01   0.220643E-02   0.657321E-03   0.114685E-02   0.898421E-03   0.195083E-02   0.918499E-03   0.413772E-03   0.979923E-03   0.113046E-02   0.202204E+03   0.000000E+00   0.000000E+00   0.202204E+03  -0.404408E+03
   0.100061E+03   0.176989E+01   0.202939E-02   0.657321E-03   0.887892E-03   0.898421E-03   0.159832E-02   0.167850E-02   0.413772E-03   0.979923E-03   0.113046E-02   0.202359E+03   0.000000E+00   0.000000E+00   0.202359E+03  -0.404718E+03
   0.100061E+03   0.412077E+01   0.202939E-02   0.657321E-03   0.887892E-03   0.898421E-03   0.159832E-02   0.167850E-02   0.413772E-03   0.979923E-03   0.113046E-02   0.202174E+03   0.000000E+00   0.000000E+00   0.202174E+03  -0.404348E+03
   0.100061E+03   0.424870E+00   0.202939E-02   0.657321E-03   0.887892E-03   0.124004E-02   0.159832E-02   0.711418E-03   0.413772E-03   0.979923E-03   0.300913E-03   0.204716E+03   0.000000E+00   0.000000E+00   0.204716E+03  -0.409432E+03
   0.992715E+02   0.815255E+00   0.464137E-03   0.657321E-03   0.887892E-03   0.133674E-02   0.159832E-02   0.711418E-03   0.413772E-03   0.101534E-02   0.300913E-03   0.207174E+03   0.000000E+00   0.000000E+00   0.207174E+03  -0.414348E+03
   0.992715E+02   0.815255E+00   0.464137E-03   0.657321E-03   0.887892E-03   0.133674E-02   0.159832E-02   0.711418E-03   0.413772E-03   0.101534E-02   0.800713E-03   0.206394E+03   0.000000E+00   0.000000E+00   0.206394E+03  -0.412788E+03
