a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100727E+03   0.459141E+01   0.575974E+01   0.145950E+02   0.328919E-03   0.371966E-03   0.228543E-03   0.708598E-03   0.188845E+03   0.000000E+00   0.000000E+00   0.188845E+03  -0.377690E+03
   0.100727E+03   0.459141E+01   0.810138E+01   0.640410E+01   0.328919E-03   0.371966E-03   0.228543E-03   0.708598E-03   0.188864E+03   0.000000E+00   0.000000E+00   0.188864E+03  -0.377728E+03
   0.101307E+03   0.549343E+00   0.836141E+01   0.112527E+02   0.328919E-03   0.371966E-03   0.228543E-03   0.708598E-03   0.187046E+03   0.000000E+00   0.000000E+00   0.187046E+03  -0.374092E+03
   0.101307E+03   0.207802E+01   0.836141E+01   0.112527E+02   0.328919E-03   0.371966E-03   0.228543E-03   0.708598E-03   0.188295E+03   0.000000E+00   0.000000E+00   0.188295E+03  -0.376590E+03
   0.101307E+03   0.207802E+01   0.264000E+01   0.112527E+02   0.328919E-03   0.371966E-03   0.228543E-03   0.189695E-02   0.189447E+03   0.000000E+00   0.000000E+00   0.189447E+03  -0.378894E+03
   0.101307E+03   0.218064E+01   0.264000E+01   0.112527E+02   0.328919E-03   0.371966E-03   0.228543E-03   0.189695E-02   0.189494E+03   0.000000E+00   0.000000E+00   0.189494E+03  -0.378988E+03
   0.101307E+03   0.218064E+01   0.264000E+01   0.956715E+01   0.328919E-03   0.371966E-03   0.228543E-03   0.189695E-02   0.189848E+03   0.000000E+00   0.000000E+00   0.189848E+03  -0.379696E+03
   0.101307E+03   0.183958E+01   0.264000E+01   0.359542E+01   0.328919E-03   0.371966E-03   0.228543E-03   0.189695E-02   0.190453E+03   0.000000E+00   0.000000E+00   0.190453E+03  -0.380906E+03
   0.101307E+03   0.183958E+01   0.169528E+00   0.701779E+01   0.328919E-03   0.371966E-03   0.228543E-03   0.189695E-02   0.189927E+03   0.000000E+00   0.000000E+00   0.189927E+03  -0.379854E+03
   0.101307E+03   0.183958E+01  -0.253913E+01  -0.689720E+01   0.108725E-02   0.371966E-03   0.228543E-03   0.189695E-02   0.186638E+03   0.000000E+00   0.000000E+00   0.186638E+03  -0.373276E+03
   0.101307E+03   0.183958E+01   0.641518E+01  -0.265480E+01   0.108725E-02   0.371966E-03   0.228543E-03   0.189695E-02   0.186926E+03   0.000000E+00   0.000000E+00   0.186926E+03  -0.373852E+03
   0.101307E+03  -0.338561E+01  -0.308777E+01  -0.141509E+02   0.108725E-02   0.371966E-03   0.228543E-03   0.189695E-02   0.186662E+03   0.000000E+00   0.000000E+00   0.186662E+03  -0.373324E+03
   0.102140E+03  -0.287879E+01   0.418515E+01  -0.141509E+02   0.148513E-02   0.371966E-03   0.228543E-03   0.189695E-02   0.184859E+03   0.000000E+00   0.000000E+00   0.184859E+03  -0.369718E+03
   0.102140E+03  -0.287879E+01   0.418515E+01  -0.107280E+02   0.148513E-02   0.371966E-03   0.228543E-03   0.189695E-02   0.185075E+03   0.000000E+00   0.000000E+00   0.185075E+03  -0.370150E+03
   0.102140E+03   0.187969E+01   0.211089E+01   0.758734E+01   0.913814E-03   0.371966E-03   0.228543E-03   0.189695E-02   0.186906E+03   0.000000E+00   0.000000E+00   0.186906E+03  -0.373812E+03
   0.102140E+03   0.187969E+01   0.211089E+01   0.192273E+02   0.913814E-03   0.371966E-03   0.228543E-03   0.189695E-02   0.184519E+03   0.000000E+00   0.000000E+00   0.184519E+03  -0.369038E+03
   0.101623E+03   0.752245E+01   0.211089E+01   0.192273E+02   0.992670E-03   0.371966E-03   0.228543E-03   0.203545E-02   0.185294E+03   0.000000E+00   0.000000E+00   0.185294E+03  -0.370588E+03
   0.101623E+03   0.752245E+01  -0.112929E+01   0.122605E+02   0.992670E-03   0.371966E-03   0.228543E-03   0.977782E-03   0.184707E+03   0.000000E+00   0.000000E+00   0.184707E+03  -0.369414E+03
   0.101095E+03   0.752245E+01  -0.274865E+01   0.203864E+02   0.992670E-03   0.371966E-03   0.228543E-03   0.149921E-02   0.183791E+03   0.000000E+00   0.000000E+00   0.183791E+03  -0.367582E+03
   0.101095E+03   0.910957E+01   0.284829E+01   0.203864E+02   0.992670E-03   0.371966E-03   0.228543E-03   0.149921E-02   0.185339E+03   0.000000E+00   0.000000E+00   0.185339E+03  -0.370678E+03
