a0_min_r_1     a0_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.113269E+03   0.396849E+02   0.218490E-03   0.126061E+02   0.813830E+01   0.169321E+02   0.102535E+02   0.475831E+02
   0.112811E+03   0.396849E+02   0.218490E-03   0.122629E+02   0.837556E+01   0.158913E+02   0.102535E+02   0.478712E+02
   0.112811E+03   0.396849E+02   0.218490E-03   0.110385E+02   0.820293E+01   0.148982E+02   0.102535E+02   0.484032E+02
   0.112811E+03   0.396849E+02   0.218490E-03   0.106338E+02   0.820293E+01   0.144877E+02   0.104579E+02   0.486919E+02
   0.112811E+03   0.396849E+02   0.218490E-03   0.116506E+02   0.114229E+02   0.144877E+02   0.104579E+02   0.482942E+02
   0.112811E+03   0.396849E+02   0.218490E-03   0.106250E+02   0.933830E+01   0.135074E+02   0.131906E+02   0.501317E+02
   0.112811E+03   0.398547E+02   0.218490E-03   0.106250E+02   0.105323E+02   0.118742E+02   0.118821E+02   0.493553E+02
   0.112811E+03   0.398547E+02   0.218490E-03   0.105675E+02   0.935741E+01   0.113056E+02   0.118821E+02   0.491977E+02
   0.112811E+03   0.398547E+02   0.218490E-03   0.105675E+02   0.935741E+01   0.131492E+02   0.114199E+02   0.496181E+02
   0.112811E+03   0.398547E+02   0.218490E-03   0.986161E+01   0.948302E+01   0.160839E+02   0.952546E+01   0.482174E+02
   0.112811E+03   0.398547E+02   0.218490E-03   0.116188E+02   0.903578E+01   0.133588E+02   0.952546E+01   0.478082E+02
   0.112811E+03   0.398547E+02   0.218490E-03   0.105258E+02   0.903578E+01   0.133588E+02   0.981176E+01   0.484511E+02
   0.112811E+03   0.398547E+02   0.218490E-03   0.851851E+01   0.893240E+01   0.136279E+02   0.106701E+02   0.491059E+02
