a0_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.101120E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.102874E-02  0.854596E-03  0.101060E-02  0.776683E-03  0.395873E-03  0.184108E+03
  0.999400E+02  0.422575E-04  0.755458E-03  0.112843E-02  0.102874E-02  0.854596E-03  0.101060E-02  0.776683E-03  0.395873E-03  0.184844E+03
  0.999400E+02  0.422575E-04  0.755458E-03  0.112843E-02  0.102874E-02  0.854596E-03  0.101060E-02  0.776683E-03  0.395873E-03  0.184844E+03
  0.999400E+02  0.422575E-04  0.755458E-03  0.112843E-02  0.447657E-02  0.899497E-03  0.101060E-02  0.776683E-03  0.395873E-03  0.180356E+03
  0.999400E+02  0.422575E-04  0.755458E-03  0.112843E-02  0.447657E-02  0.899497E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.180665E+03
  0.999400E+02  0.182142E-02  0.795439E-03  0.112843E-02  0.447657E-02  0.995207E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.177813E+03
  0.999400E+02  0.182142E-02  0.795439E-03  0.112843E-02  0.990862E-03  0.995207E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.182277E+03
  0.999400E+02  0.182142E-02  0.795439E-03  0.112843E-02  0.990862E-03  0.995207E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.182277E+03
  0.999400E+02  0.193459E-02  0.795439E-03  0.112843E-02  0.990862E-03  0.995207E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.182074E+03
  0.999400E+02  0.323313E-03  0.795439E-03  0.112843E-02  0.990862E-03  0.995207E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.185079E+03
  0.999400E+02  0.323313E-03  0.795439E-03  0.112843E-02  0.990862E-03  0.389945E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.185720E+03
  0.999400E+02  0.323313E-03  0.795439E-03  0.112843E-02  0.990862E-03  0.389945E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.185720E+03
  0.999400E+02  0.323313E-03  0.795439E-03  0.112843E-02  0.103609E-02  0.389945E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.185656E+03
  0.999400E+02  0.323313E-03  0.795439E-03  0.112843E-02  0.103609E-02  0.389945E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.185656E+03
  0.999400E+02  0.323313E-03  0.795439E-03  0.112843E-02  0.103609E-02  0.389945E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.185656E+03
  0.999400E+02  0.323313E-03  0.795439E-03  0.112843E-02  0.103609E-02  0.389945E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.185656E+03
  0.999400E+02  0.323313E-03  0.517021E-04  0.112843E-02  0.103609E-02  0.389945E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.186126E+03
  0.999400E+02  0.323313E-03  0.517021E-04  0.112843E-02  0.103609E-02  0.389945E-03  0.471933E-03  0.776683E-03  0.395873E-03  0.186126E+03
