a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.101997E+03  0.155496E+01  0.144845E+01 -0.739686E+01  0.121350E+02  0.465202E-03  0.371773E-03  0.178668E-03  0.174130E-02  0.212502E+03
  0.101997E+03  0.155496E+01  0.144845E+01 -0.739686E+01  0.121350E+02  0.465202E-03  0.371773E-03  0.178668E-03  0.112224E-02  0.213850E+03
  0.101997E+03  0.270698E+00  0.239670E+01  0.594106E+01  0.223543E+01  0.465202E-03  0.371773E-03  0.178668E-03  0.112224E-02  0.213856E+03
  0.101997E+03  0.214126E+01  0.239670E+01  0.170035E+01  0.991953E+01  0.465202E-03  0.371773E-03  0.178668E-03  0.112224E-02  0.214628E+03
  0.101213E+03  0.214126E+01  0.239670E+01  0.911277E+01  0.991953E+01  0.465202E-03  0.371773E-03  0.178668E-03  0.112224E-02  0.214649E+03
  0.101213E+03  0.214126E+01 -0.630605E-01  0.911277E+01  0.127268E+02  0.465202E-03  0.371773E-03  0.178668E-03  0.112224E-02  0.213839E+03
  0.101213E+03  0.974425E+00 -0.630605E-01  0.911277E+01  0.380575E+01  0.465202E-03  0.371773E-03  0.178668E-03  0.112224E-02  0.214426E+03
  0.100445E+03  0.974425E+00 -0.156612E+01  0.973656E+01  0.464330E+01  0.465202E-03  0.371773E-03  0.178668E-03  0.112224E-02  0.213948E+03
  0.100445E+03  0.505374E+01 -0.156612E+01  0.868538E+01  0.464330E+01  0.465202E-03  0.371773E-03  0.178668E-03  0.838869E-03  0.214177E+03
  0.100445E+03  0.505374E+01 -0.156612E+01  0.422883E+01 -0.115326E+02  0.465202E-03  0.371773E-03  0.178668E-03  0.977513E-03  0.214425E+03
  0.100445E+03  0.505374E+01 -0.156612E+01  0.422883E+01 -0.498330E+01  0.465202E-03  0.371773E-03  0.178668E-03  0.977513E-03  0.214967E+03
  0.100445E+03  0.505374E+01 -0.156612E+01  0.422883E+01 -0.930021E+01  0.465202E-03  0.371773E-03  0.178668E-03  0.977513E-03  0.214693E+03
