a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.101889E+03   0.592282E+00   0.866005E+00  -0.134387E+01   0.545963E-03   0.190953E-04   0.984225E-04   0.130526E-02   0.216193E+03
   0.101889E+03   0.276835E+01  -0.454179E+01   0.431244E+01   0.545963E-03   0.190953E-04   0.984225E-04   0.130526E-02   0.213169E+03
   0.101793E+03   0.276835E+01  -0.454179E+01   0.383844E+01   0.642190E-03   0.190953E-04   0.984225E-04   0.130526E-02   0.213318E+03
   0.101793E+03   0.276835E+01  -0.248198E+01   0.383844E+01   0.642190E-03   0.190953E-04   0.984225E-04   0.130526E-02   0.214247E+03
   0.101793E+03   0.276835E+01   0.105691E+02   0.383844E+01   0.642190E-03   0.190953E-04   0.984225E-04   0.130526E-02   0.213549E+03
   0.101793E+03   0.276835E+01   0.105691E+02   0.383844E+01   0.642190E-03   0.190953E-04   0.984225E-04   0.861921E-03   0.214020E+03
   0.100808E+03   0.276835E+01   0.105691E+02   0.383844E+01   0.642190E-03   0.647476E-03   0.984225E-04   0.861921E-03   0.211735E+03
   0.100974E+03   0.276835E+01   0.134071E+01   0.471879E+01   0.642190E-03   0.647476E-03   0.984225E-04   0.861921E-03   0.213761E+03
   0.100974E+03   0.447918E+01  -0.142300E+01  -0.209075E+00   0.642190E-03   0.647476E-03   0.984225E-04   0.861921E-03   0.212090E+03
   0.100974E+03   0.447918E+01  -0.638781E+00   0.338997E+01   0.642190E-03   0.647476E-03   0.984225E-04   0.861921E-03   0.212499E+03
   0.100974E+03   0.359833E+01   0.736203E+00   0.288324E+01   0.770388E-03   0.647476E-03   0.984225E-04   0.861921E-03   0.212826E+03
   0.100974E+03   0.359833E+01   0.300731E+01   0.478899E+00   0.784270E-03   0.342513E-03   0.984225E-04   0.861921E-03   0.214724E+03
   0.999619E+02   0.246508E+01  -0.582581E+01   0.478899E+00   0.784270E-03   0.342513E-03   0.984225E-04   0.861921E-03   0.214673E+03
   0.993022E+02   0.246508E+01  -0.365089E+01  -0.500999E+00   0.784270E-03   0.342513E-03   0.471483E-03   0.861921E-03   0.212228E+03
   0.995209E+02   0.246508E+01  -0.365089E+01  -0.500999E+00   0.550091E-03   0.249377E-03   0.471483E-03   0.531051E-03   0.212730E+03
   0.995209E+02   0.299378E+01  -0.715996E+01   0.479906E+01   0.550091E-03   0.249377E-03   0.471483E-03   0.869613E-03   0.212984E+03
   0.996546E+02   0.299378E+01  -0.715996E+01  -0.808853E+01   0.550091E-03   0.352676E-03   0.471483E-03   0.128917E-02   0.211788E+03
   0.996546E+02   0.279257E+01  -0.715996E+01  -0.808853E+01   0.550091E-03   0.352676E-03   0.471483E-03   0.128917E-02   0.211899E+03
   0.996546E+02   0.103031E+01  -0.251362E+01  -0.415667E+01   0.550091E-03   0.352676E-03   0.471483E-03   0.128917E-02   0.212848E+03
   0.996546E+02   0.103031E+01  -0.251362E+01  -0.814030E+01   0.264127E-03   0.352676E-03   0.471483E-03   0.128917E-02   0.213054E+03
   0.996546E+02   0.103031E+01  -0.251362E+01  -0.814030E+01   0.264127E-03   0.352676E-03   0.471483E-03   0.128917E-02   0.213054E+03
   0.996546E+02   0.103031E+01   0.131974E+01  -0.814030E+01   0.264127E-03   0.352676E-03   0.296961E-03   0.128917E-02   0.212796E+03
   0.100607E+03  -0.137923E+01   0.131974E+01  -0.814030E+01   0.264127E-03   0.352676E-03   0.296961E-03   0.128917E-02   0.215712E+03
   0.100542E+03   0.802639E+00   0.457813E+01  -0.491982E+01   0.264127E-03   0.352676E-03   0.296961E-03   0.128917E-02   0.214804E+03
   0.100542E+03   0.802639E+00  -0.384811E+01  -0.491982E+01   0.264127E-03   0.105969E-03   0.296961E-03   0.128917E-02   0.217410E+03
   0.100542E+03   0.212704E+00  -0.384811E+01  -0.491982E+01   0.264127E-03   0.105969E-03   0.296961E-03   0.128917E-02   0.217374E+03
   0.100542E+03   0.212704E+00  -0.384811E+01  -0.545678E+01   0.264127E-03   0.105969E-03   0.296961E-03   0.128917E-02   0.217366E+03
   0.100542E+03   0.212704E+00   0.266343E+01   0.154035E-01   0.264127E-03   0.105969E-03   0.296961E-03   0.128917E-02   0.216047E+03
   0.100542E+03   0.218894E+01   0.266343E+01   0.154035E-01   0.548826E-03   0.105969E-03   0.296961E-03   0.128917E-02   0.215540E+03
   0.100542E+03   0.218894E+01  -0.142080E+00   0.520322E+00   0.946035E-04   0.105969E-03   0.296961E-03   0.128917E-02   0.217354E+03
   0.101631E+03   0.218894E+01  -0.198628E+01   0.520322E+00   0.946035E-04   0.197716E-04   0.296961E-03   0.128917E-02   0.216609E+03
